Format Version,1.23,Take Name,Take 2024-04-28 06.47.38 PM,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2024-04-28 06.47.39.201 PM,Capture Start Frame,816310,Total Frames in Take,9354,Total Exported Frames,9354,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-0.003099,0.000445,-0.005877,539.272888,890.834900,267.697144
1,0.033333,0.004494,0.000951,-0.006100,539.270020,890.823486,267.702850
2,0.066667,0.005161,0.004279,-0.005419,539.264954,890.833740,267.698120
3,0.100000,0.011457,0.003886,-0.008278,539.271301,890.821411,267.704285
4,0.133333,0.002054,0.001561,0.002390,539.272339,890.843689,267.709412
5,0.166667,0.002277,0.005999,-0.012399,539.272217,890.818481,267.692200
6,0.200000,0.000299,0.002312,-0.000129,539.267517,890.833130,267.684387
7,0.233333,0.004424,0.000817,0.000690,539.272339,890.825867,267.706024
8,0.266667,-0.005801,0.005518,-0.009034,539.272949,890.832581,267.675690
9,0.300000,0.000139,0.003111,-0.009756,539.276001,890.821594,267.684113
10,0.333333,0.006120,0.008302,-0.010231,539.272095,890.828857,267.699768
11,0.366667,-0.002193,0.001746,-0.003403,539.274475,890.838928,267.700378
12,0.400000,0.003009,0.003090,-0.007255,539.273560,890.830078,267.705414
13,0.433333,-0.005839,0.001743,0.000616,539.267578,890.819946,267.719116
14,0.466667,-0.004124,0.000439,-0.007306,539.271729,890.807251,267.728149
15,0.500000,-0.005789,-0.000590,0.006323,539.271667,890.840942,267.726013
16,0.533333,0.002472,0.003027,-0.006549,539.275574,890.825256,267.713531
17,0.566667,0.004263,-0.000376,-0.003815,539.268738,890.829712,267.719360
18,0.600000,-0.009328,0.000189,-0.008234,539.271912,890.809387,267.727264
19,0.633333,0.000013,0.003013,-0.006507,539.263000,890.826294,267.689392
20,0.666667,-0.009109,-0.000770,-0.007620,539.269531,890.816711,267.739136
21,0.700000,0.001263,0.002256,-0.005073,539.265625,890.832642,267.703705
22,0.733333,-0.001630,0.003855,-0.010656,539.263916,890.803589,267.727356
23,0.766667,0.005305,0.001381,-0.000057,539.271118,890.826294,267.707275
24,0.800000,0.004661,0.001641,-0.004705,539.260864,890.820496,267.712036
25,0.833333,-0.006670,0.002782,-0.006826,539.264099,890.815491,267.706635
26,0.866667,0.000817,0.001373,-0.012226,539.268799,890.822327,267.708496
27,0.900000,-0.006925,-0.001272,-0.004509,539.268127,890.818542,267.733521
28,0.933333,0.003935,-0.000679,-0.003721,539.265198,890.824707,267.718079
29,0.966667,0.000282,0.000899,-0.003243,539.267944,890.822632,267.699524
30,1.000000,-0.008431,-0.000844,-0.000817,539.263000,890.817993,267.722626
31,1.033333,-0.007747,-0.001383,0.000480,539.263123,890.818054,267.737305
