Format Version,1.23,Take Name,Take 2024-05-04 05.26.01 PM,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2024-05-04 05.26.01.556 PM,Capture Start Frame,710120,Total Frames in Take,9378,Total Exported Frames,9378,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.022269,0.066452,0.024198,539.092285,890.711426,268.209381
1,0.033333,0.022613,0.064448,0.026888,539.087769,890.711548,268.207886
2,0.066667,0.021860,0.063273,0.022109,539.085388,890.711975,268.201294
3,0.100000,0.008173,0.032727,0.055591,539.048706,890.763489,268.296692
4,0.133333,0.022171,0.062643,0.024793,539.085266,890.711731,268.212677
5,0.166667,0.013152,0.039968,0.069027,539.051086,890.751953,268.278595
6,0.200000,0.011865,0.036949,0.057156,539.049622,890.756714,268.277008
7,0.233333,0.023460,0.067674,0.039775,539.084106,890.700500,268.202667
8,0.266667,0.010093,0.035394,0.058424,539.051636,890.762756,268.288177
9,0.300000,0.006815,0.036269,0.056516,539.051575,890.768616,268.285400
10,0.333333,0.019889,0.062958,0.024941,539.084473,890.717834,268.216797
11,0.366667,0.024234,0.066398,0.039092,539.083313,890.701965,268.203979
12,0.400000,0.021784,0.063919,0.023375,539.087524,890.710571,268.208282
13,0.433333,0.008464,0.031588,0.058684,539.045715,890.764160,268.286896
14,0.466667,0.024945,0.067227,0.022423,539.090881,890.705322,268.205353
15,0.500000,0.008904,0.035858,0.058817,539.048950,890.766602,268.293610
16,0.533333,0.022632,0.062308,0.025030,539.087036,890.710449,268.208984
17,0.566667,0.005570,0.035285,0.055227,539.050598,890.767883,268.287811
18,0.600000,0.013229,0.038955,0.054847,539.054321,890.750854,268.268890
19,0.633333,0.013967,0.039525,0.073917,539.050049,890.748901,268.282623
20,0.666667,0.022700,0.065228,0.025691,539.088501,890.712769,268.206696
21,0.700000,0.007451,0.036137,0.061844,539.055054,890.764160,268.288025
22,0.733333,0.022743,0.063267,0.025006,539.085266,890.707092,268.207855
23,0.766667,0.008318,0.037101,0.059116,539.051514,890.767090,268.283539
24,0.800000,0.022367,0.065997,0.021018,539.090515,890.704712,268.205627
25,0.833333,0.019073,0.065085,0.028723,539.091980,890.719360,268.204437
26,0.866667,0.026035,0.061406,0.035450,539.083923,890.699524,268.190277
27,0.900000,0.020681,0.066395,0.025005,539.090027,890.713257,268.205322
28,0.933333,0.009101,0.035489,0.055859,539.051758,890.763245,268.282684
29,0.966667,0.009197,0.035358,0.056480,539.050598,890.763611,268.283752
30,1.000000,0.019227,0.063873,0.028232,539.090576,890.714050,268.209808
31,1.033333,0.006531,0.035464,0.059179,539.053101,890.766541,268.290833
32,1.066667,0.020285,0.064155,0.026073,539.088684,890.712769,268.197479
33,1.100000,0.009222,0.036965,0.054630,539.056702,890.763306,268.284698
34,1.133333,0.019091,0.067645,0.026888,539.092529,890.714661,268.193604
35,1.166667,0.008698,0.039274,0.058946,539.057434,890.765991,268.278107
36,1.200000,0.005789,0.039396,0.058226,539.059631,890.767822,268.263336
