Format Version,1.23,Take Name,Take 2024-04-22 08.06.21 PM,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2024-04-22 08.06.21.350 PM,Capture Start Frame,1112967,Total Frames in Take,43867,Total Exported Frames,43867,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"EE915DAF00A111EFA0BCABC55148DDB6","EE915DAF00A111EFA0BCABC55148DDB6","EE915DAF00A111EFA0BCABC55148DDB6","EE915DAF00A111EFA0BCABC55148DDB6","EE915DAF00A111EFA0BCABC55148DDB6","EE915DAF00A111EFA0BCABC55148DDB6"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-0.000503,0.000677,0.003089,539.758789,899.397705,264.356628
1,0.033333,-0.000068,-0.003468,-0.004039,539.760315,899.392212,264.356628
2,0.066667,0.000291,-0.001958,0.000611,539.755615,899.398560,264.350800
3,0.100000,0.002762,0.000309,0.031903,539.749573,899.396118,264.366760
4,0.133333,-0.001658,-0.002235,0.003042,539.760681,899.405762,264.359131
5,0.166667,-0.000131,-0.002687,-0.001730,539.760376,899.397827,264.360535
6,0.200000,0.003109,0.001067,0.007755,539.757751,899.396912,264.353302
7,0.233333,-0.001518,-0.001583,0.004753,539.758240,899.404175,264.364777
8,0.266667,-0.001832,-0.000485,0.000995,539.759949,899.402100,264.357239
9,0.300000,0.000056,-0.000616,-0.001136,539.757446,899.395569,264.349915
10,0.333333,-0.001667,-0.001466,-0.000020,539.759888,899.397217,264.358246
11,0.366667,-0.000441,-0.001350,-0.000787,539.763855,899.396667,264.356445
12,0.400000,-0.000348,0.001105,0.005230,539.760315,899.396545,264.357025
13,0.433333,0.000342,-0.003261,0.000499,539.756836,899.398438,264.369812
14,0.466667,-0.002535,-0.001880,0.001809,539.756714,899.403442,264.356567
15,0.500000,0.002576,0.002559,0.031258,539.760071,899.398438,264.365204
16,0.533333,0.000081,-0.003508,0.001897,539.757385,899.399902,264.359070
17,0.566667,-0.002360,-0.003294,-0.001170,539.752441,899.401978,264.359497
18,0.600000,0.000778,0.000779,0.028689,539.759155,899.398438,264.370850
19,0.633333,-0.000984,-0.001388,0.011755,539.753052,899.402588,264.359863
20,0.666667,-0.001079,-0.003407,-0.006984,539.757080,899.397400,264.358307
21,0.700000,-0.000289,-0.000061,0.000498,539.763916,899.399475,264.358490
22,0.733333,-0.000853,-0.000975,0.001770,539.760010,899.402771,264.355988
23,0.766667,-0.000790,-0.002212,0.001536,539.761169,899.398010,264.363953
24,0.800000,-0.003622,-0.000884,-0.001239,539.761108,899.401306,264.357117
25,0.833333,0.000011,0.000117,-0.002782,539.765381,899.399292,264.351166
26,0.866667,0.000357,0.003914,0.027121,539.757568,899.396362,264.361298
27,0.900000,0.000598,-0.002865,0.001589,539.753723,899.397949,264.359894
28,0.933333,-0.001344,-0.000851,0.002327,539.761780,899.399658,264.356079
29,0.966667,-0.001367,-0.002664,0.000544,539.757874,899.397766,264.367279
30,1.000000,0.001593,-0.001647,0.004062,539.756226,899.399292,264.354248
31,1.033333,0.001912,0.000836,-0.000484,539.763367,899.394470,264.353760
32,1.066667,-0.001228,-0.003295,0.004681,539.758972,899.398438,264.360901
33,1.100000,-0.001007,-0.002312,0.006442,539.756348,899.402893,264.361053
34,1.133333,-0.001085,-0.001239,-0.000653,539.760132,899.400452,264.359894
35,1.166667,-0.000185,0.000199,0.001986,539.765625,899.398560,264.349609
36,1.200000,-0.009911,-0.011093,-0.076610,539.760254,899.400330,264.354675
37,1.233333,-0.000033,-0.002031,0.008121,539.756287,899.401978,264.361298
38,1.266667,0.000571,0.002672,0.026681,539.755859,899.397095,264.361633
39,1.300000,-0.002446,-0.004325,-0.000897,539.759399,899.398621,264.357880
40,1.333333,-0.001761,-0.003024,-0.001843,539.759033,899.397766,264.359894
41,1.366667,-0.000533,-0.002256,0.006368,539.753357,899.400513,264.357880
42,1.400000,-0.001722,-0.003031,-0.006967,539.761902,899.399231,264.357910
43,1.433333,-0.001697,-0.002359,0.001951,539.755005,899.402100,264.359497
44,1.466667,-0.003044,-0.004424,-0.000291,539.756226,899.397949,264.362152
45,1.500000,0.000837,-0.001986,0.006432,539.756531,899.401428,264.354431
46,1.533333,-0.001721,-0.004472,-0.001956,539.753174,899.397827,264.359833
47,1.566667,0.000347,-0.004735,-0.000799,539.753357,899.395203,264.364075
48,1.600000,0.000800,-0.004937,-0.002118,539.755798,899.395447,264.361786
49,1.633333,-0.000707,-0.004357,0.004354,539.750366,899.400146,264.359711
50,1.666667,-0.000478,-0.004300,0.000277,539.755493,899.399536,264.361359
51,1.700000,-0.001236,-0.004405,0.001758,539.751770,899.401489,264.361755
52,1.733333,0.003541,0.002908,0.032519,539.750610,899.396973,264.367493
53,1.766667,-0.001905,-0.003536,-0.000699,539.756775,899.395020,264.359161
54,1.800000,0.000790,-0.001202,0.001973,539.755493,899.398621,264.356750
55,1.833333,0.000745,-0.001716,0.000421,539.758301,899.391418,264.361938
56,1.866667,0.001498,-0.002438,0.003332,539.755981,899.394470,264.356964
57,1.900000,-0.001850,-0.003145,0.003386,539.754028,899.402344,264.361023
58,1.933333,-0.001020,-0.004823,-0.000284,539.755493,899.400146,264.369324
59,1.966667,-0.000284,-0.003085,0.002302,539.754272,899.394775,264.357483
60,2.000000,-0.000697,-0.002893,0.004736,539.752258,899.399292,264.362335
61,2.033333,-0.003801,-0.005792,-0.002755,539.760376,899.396484,264.361389
62,2.066667,-0.002203,-0.001507,0.007021,539.753967,899.400269,264.358582
63,2.100000,-0.000423,-0.001958,0.005693,539.759277,899.395447,264.364136
64,2.133333,-0.002435,-0.002053,-0.004695,539.761414,899.394897,264.358063
65,2.166667,-0.000413,-0.002933,0.001572,539.757080,899.395996,264.360657
66,2.200000,0.000827,0.000546,0.022270,539.752075,899.393250,264.369507
67,2.233333,-0.002163,-0.001630,0.002032,539.760254,899.398254,264.362549
68,2.266667,0.000796,-0.001054,0.000901,539.758057,899.396118,264.356476
69,2.300000,0.001682,0.001667,0.033613,539.751892,899.392944,264.367798
70,2.333333,-0.001441,-0.003090,-0.002534,539.758179,899.396912,264.361145
71,2.366667,-0.002180,-0.002144,0.000149,539.757324,899.397156,264.357666
72,2.400000,0.002239,-0.004522,-0.009613,539.754028,899.341675,264.364502
73,2.433333,-0.032764,-0.000815,0.104922,539.748108,899.225098,264.460632
74,2.466667,-0.032186,0.013488,0.132505,539.747375,898.885010,264.594116
75,2.500000,-0.014542,-0.064930,0.220701,539.538513,898.633728,264.763031
76,2.533333,-0.096257,-0.071595,0.148839,539.561096,898.295898,264.914063
77,2.566667,-0.168954,-0.066199,0.058354,539.565613,897.908020,264.886749
78,2.600000,-0.189534,-0.102479,0.021570,539.524963,897.505981,264.944611
79,2.633333,-0.286254,-0.134153,-0.194942,539.519592,896.837158,265.165375
80,2.666667,-0.345221,-0.227994,-0.384521,539.457214,896.138062,265.349335
81,2.700000,-0.417034,-0.245541,-0.429387,539.431580,895.576355,265.342590
82,2.733333,-0.567544,-0.121447,-0.691689,539.605530,894.939819,265.406799
83,2.766667,-0.685771,0.357616,-0.254628,540.106873,894.542847,264.844299
84,2.800000,-0.662618,-0.168969,-0.606119,539.416565,893.516968,265.691437
85,2.833333,-0.684690,0.407761,-0.186529,539.898865,893.024902,265.198090
86,2.866667,-0.804944,0.570523,-0.275058,540.273376,892.436340,265.400757
87,2.900000,-0.703828,0.389928,-0.251059,539.815186,891.782166,265.800568
88,2.933333,-0.725438,0.323517,-0.174688,539.552368,891.162231,265.938385
89,2.966667,-0.894434,0.123198,-0.829744,539.650879,890.302734,266.360626
90,3.000000,-0.784007,0.436924,-0.278273,539.710022,890.026978,265.909027
91,3.033333,-0.940571,0.502616,-0.343626,539.971802,889.682739,265.781097
92,3.066667,-1.008869,0.568039,-0.315423,539.962891,889.343994,265.734711
93,3.100000,-1.292165,0.448946,-0.886672,540.088379,888.612915,266.058136
94,3.133333,-1.183997,0.445982,-0.840128,540.045166,888.422119,266.127350
95,3.166667,-1.072919,0.679100,-0.395274,540.035400,888.405273,265.892426
96,3.200000,-1.148076,0.520974,-0.836317,540.090515,887.991882,266.403046
97,3.233333,-1.093638,0.739995,-0.386589,540.069397,887.974365,266.167053
98,3.266667,-1.151153,0.596975,-0.831484,540.158752,887.745667,266.569031
99,3.300000,-1.157703,0.561569,-0.835662,540.103210,887.771301,266.589996
100,3.333333,-1.079426,0.753817,-0.398925,540.104065,887.943237,266.177643
101,3.366667,-1.183724,0.569575,-0.830485,540.123962,887.756348,266.463562
102,3.400000,-1.102661,0.742762,-0.394254,540.077698,887.939880,266.096527
103,3.433333,-1.100855,0.742343,-0.397941,540.087708,887.941711,266.125885
104,3.466667,-1.174575,0.572612,-0.824667,540.117920,887.750732,266.513580
105,3.500000,-1.162943,0.581664,-0.832121,540.148804,887.735596,266.533142
106,3.533333,-1.089443,0.736518,-0.386674,540.071411,887.960266,266.184845
